variables,code,PCapita plastic waste (kg per person per day),gdp_pc,otalpopulatio,year,Mismanaged plastic waste (tonnes),coastal_pop,variables
Netherlands,NLD,0.424,$45524.6621425733,16612988,2011,27700,8971770,Netherlands
Netherlands Antilles,ANT,0.252,,NOT KNOWN,2011,416,227165,Netherlands Antilles
New Caledonia,NCL,0.252,,250870,2011,472,257904,New Caledonia
New Zealand,NZL,0.331,$32119.2155430773,4368136,2011,9286,3862054,New Zealand
Nicaragua,NIC,0.143,$4028.71208738128,5788163,2011,84415,3482653,Nicaragua
Nigeria,NGA,0.103,$5150.158818227629,158423182,2011,851493,27477112,Nigeria
Niue,NIU,0.252,,1468,2011,4,1799,Niue
Norfolk Island,NFK,0.103,,NOT KNOWN,2011,68,2156,Norfolk Island
North Korea,PRK,0.054,,24346229,2011,304328,17327483,North Korea
Northern Mariana Islands,MNP,0.252,,60917,2011,219,106256,Northern Mariana Islands
Norway,NOR,0.28,$62350.4107068751,4883111,2011,8403,4131679,Norway
Oman,OMN,0.084,$45335.8525168436,2782435,2011,4658,2597556,Oman
Pakistan,PAK,0.103,$4283.6073116363505,173593383,2011,480493,14581952,Pakistan
Palau,PLW,0.144,$11846.573933431799,20472,2011,716,23446,Palau
Palestine,PSE,0.063,$4172.745689215441,NOT KNOWN,2011,5599,3045258,Palestine
Panama,PAN,0.145,$15628.592243873798,3516820,2011,34388,3249531,Panama
Papua New Guinea,PNG,0.103,$3191.58041028301,6858266,2011,89835,2747514,Papua New Guinea
Peru,PER,0.144,$9956.55663668307,29076512,2011,194453,13765608,Peru
Philippines,PHL,0.075,$5596.83728794962,93260798,2011,1883659,83446862,Philippines
Poland,POL,0.097,$21770.6444359772,38276660,2011,15703,3272933,Poland
Portugal,PRT,0.265,$27238.4606724422,10675572,2011,16402,8507951,Portugal
Puerto Rico,PRI,0.252,$33924.054010139705,3749009,2011,16517,4249848,Puerto Rico
Qatar,QAT,0.16,$125140.838348001,1758793,2011,758,653007,Qatar
Reunion,REU,0.144,,846068,2011,847,809426,Reunion
Romania,ROU,0.042,$17553.2832966444,21486371,2011,3610,875170,Romania
